Pre_R_Mean,Pre_G_Mean,Pre_B_Mean,Pre_R_Std,Pre_G_Std,Pre_B_Std,Pre_GND_Mean,Pre_GND_Std,Pre_GND_Q25,Pre_GND_Q50,Pre_GND_Q75,Pre_GND_Q90,Pre_GND_Q95,Pre_GND_Q99,Pre_GND_IQR,Pre_GND_Peak,Pre_GND_Skewness,Pre_GND_Kurtosis,Pre_GND_CV,Pre_GND_HighRatio,Pre_GND_LowRatio,Process_Temp,Process_Time,Process_H2,Process_Ar,Target_103,Target_102,Target_301,Target_114,Target_115,Target_105,Target_124,Target_125,Target_214,TARGET_Yield,Sample_ID,Target_Scheme
254.46144846144847,22.31040131040131,19.74096174096174,11.03180330730649,19.32671269766399,17.72534195443486,0.05477288218707859,0.049023217619911415,0.0101,0.0425,0.086,0.1239,0.1513,0.19898799999999991,0.0759,0.212,0.960658442216165,0.2503139763618858,0.8950271678687821,0.0474439132033836,0.24788525193085692,1380,20,100,500,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
254.46144846144847,22.31040131040131,19.74096174096174,11.03180330730649,19.32671269766399,17.72534195443486,0.05477288218707859,0.049023217619911415,0.0101,0.0425,0.086,0.1239,0.1513,0.19898799999999991,0.0759,0.212,0.960658442216165,0.2503139763618858,0.8950271678687821,0.0474439132033836,0.24788525193085692,1380,20,100,500,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,2
254.46144846144847,22.31040131040131,19.74096174096174,11.03180330730649,19.32671269766399,17.72534195443486,0.05477288218707859,0.049023217619911415,0.0101,0.0425,0.086,0.1239,0.1513,0.19898799999999991,0.0759,0.212,0.960658442216165,0.2503139763618858,0.8950271678687821,0.0474439132033836,0.24788525193085692,1380,20,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,3
254.46144846144847,22.31040131040131,19.74096174096174,11.03180330730649,19.32671269766399,17.72534195443486,0.05477288218707859,0.049023217619911415,0.0101,0.0425,0.086,0.1239,0.1513,0.19898799999999991,0.0759,0.212,0.960658442216165,0.2503139763618858,0.8950271678687821,0.0474439132033836,0.24788525193085692,1380,20,100,500,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,4
254.57318357318357,16.41067041067041,13.628992628992629,9.961492519562093,16.838506024766488,11.503184550913392,0.051385479751915354,0.04602765789661283,0.0107,0.0394,0.0802,0.11638000000000003,0.141,0.19277799999999998,0.06949999999999999,0.2120112000000001,1.0374128414674417,0.5299583320073151,0.8957327657312996,0.04669828529733674,0.24978718229356683,1380,20,100,500,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
254.57318357318357,16.41067041067041,13.628992628992629,9.961492519562093,16.838506024766488,11.503184550913392,0.051385479751915354,0.04602765789661283,0.0107,0.0394,0.0802,0.11638000000000003,0.141,0.19277799999999998,0.06949999999999999,0.2120112000000001,1.0374128414674417,0.5299583320073151,0.8957327657312996,0.04669828529733674,0.24978718229356683,1380,20,100,500,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2
254.57318357318357,16.41067041067041,13.628992628992629,9.961492519562093,16.838506024766488,11.503184550913392,0.051385479751915354,0.04602765789661283,0.0107,0.0394,0.0802,0.11638000000000003,0.141,0.19277799999999998,0.06949999999999999,0.2120112000000001,1.0374128414674417,0.5299583320073151,0.8957327657312996,0.04669828529733674,0.24978718229356683,1380,20,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2,3
254.57318357318357,16.41067041067041,13.628992628992629,9.961492519562093,16.838506024766488,11.503184550913392,0.051385479751915354,0.04602765789661283,0.0107,0.0394,0.0802,0.11638000000000003,0.141,0.19277799999999998,0.06949999999999999,0.2120112000000001,1.0374128414674417,0.5299583320073151,0.8957327657312996,0.04669828529733674,0.24978718229356683,1380,20,100,500,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,4
240.18070652173913,40.83967391304348,46.20516304347826,53.8402141644037,53.48445106263833,54.59301518179819,0.037653677932405566,0.01271244259004654,0.03275,0.0403,0.0467,0.051,0.052989999999999995,0.055696,0.013949999999999997,0.0562494,-1.2063011584836916,1.1840750023651712,0.3376148968201042,0.0,0.2504970178926441,1380,6,100,500,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
240.18070652173913,40.83967391304348,46.20516304347826,53.8402141644037,53.48445106263833,54.59301518179819,0.037653677932405566,0.01271244259004654,0.03275,0.0403,0.0467,0.051,0.052989999999999995,0.055696,0.013949999999999997,0.0562494,-1.2063011584836916,1.1840750023651712,0.3376148968201042,0.0,0.2504970178926441,1380,6,100,500,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2
